housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
29.0,2396.0,452.0,2000.0,481.0,4.375,18.55
35.0,1356.0,241.0,620.0,216.0,3.5521,16.83
39.0,1157.0,273.0,877.0,305.0,3.1087,17.1
29.0,266.0,42.0,136.0,40.0,1.625,16.43
28.0,3507.0,969.0,3740.0,970.0,2.0162,14.2
23.0,3596.0,451.0,1292.0,458.0,8.5403,45.13
19.0,3267.0,614.0,1252.0,566.0,2.7236,10.99
47.0,793.0,163.0,334.0,151.0,5.8509,31.78
16.0,1528.0,351.0,729.0,319.0,2.4688,13.88
14.0,2284.0,622.0,342.0,137.0,3.0921,8.75
49.0,1409.0,313.0,1268.0,317.0,3.9408,17.06
18.0,3611.0,614.0,2381.0,642.0,5.6345,23.1
32.0,817.0,206.0,224.0,89.0,3.6310000000000002,9.04
45.0,3035.0,516.0,1127.0,527.0,7.0796,50.0001
52.0,2069.0,417.0,826.0,377.0,3.5481,39.6
25.0,4096.0,743.0,2027.0,741.0,5.3294,30.03
41.0,930.0,191.0,463.0,185.0,3.4141,9.06
33.0,1523.0,391.0,753.0,298.0,2.6591,18.38
24.0,3202.0,703.0,3308.0,714.0,4.1577,17.41
12.0,2453.0,599.0,1251.0,529.0,2.4122,12.7
20.0,1412.0,226.0,700.0,227.0,4.05,13.07
19.0,735.0,158.0,597.0,134.0,4.5208,18.81
14.0,1442.0,369.0,782.0,343.0,2.7431,17.75
33.0,1875.0,363.0,970.0,381.0,3.5096,14.17
36.0,1656.0,310.0,817.0,308.0,5.5675,21.59
37.0,1287.0,197.0,510.0,206.0,7.9029,50.0001
16.0,1104.0,164.0,495.0,156.0,5.4074,15.77
24.0,2269.0,584.0,1239.0,542.0,2.0411,10.0
11.0,2285.0,499.0,1468.0,471.0,2.7857,11.03
16.0,1606.0,240.0,1117.0,268.0,6.0661,24.7
5.0,1819.0,245.0,802.0,228.0,10.9722,50.0001
46.0,176.0,43.0,101.0,40.0,2.2361,9.38
32.0,3364.0,666.0,1980.0,678.0,3.7,17.9
10.0,2907.0,559.0,1681.0,531.0,3.8594,14.1
24.0,1521.0,209.0,539.0,192.0,11.1557,50.0001
23.0,1883.0,512.0,774.0,478.0,3.5096,39.64
36.0,2750.0,487.0,1386.0,458.0,4.9904,22.17
18.0,1619.0,346.0,904.0,295.0,2.1625,7.72
39.0,2018.0,447.0,1221.0,446.0,3.0757,15.1
16.0,2081.0,348.0,1332.0,356.0,4.7872,14.76
37.0,1454.0,261.0,761.0,248.0,2.3438,8.81
14.0,9425.0,2020.0,1711.0,1000.0,2.6298,14.52
32.0,3553.0,1060.0,3129.0,1010.0,2.5603,17.42
36.0,1083.0,218.0,557.0,210.0,3.0795,21.84
16.0,2577.0,521.0,956.0,472.0,2.5625,12.94
33.0,596.0,105.0,212.0,94.0,4.2813,8.13
26.0,1414.0,265.0,779.0,249.0,2.9167,8.39
40.0,930.0,199.0,564.0,184.0,1.3281,11.33
37.0,1638.0,407.0,1341.0,369.0,3.0677,16.77
40.0,1292.0,271.0,504.0,230.0,2.475,25.83
17.0,3912.0,737.0,2693.0,746.0,5.0772,22.15
25.0,2471.0,518.0,1539.0,500.0,4.2679,19.17
40.0,432.0,102.0,264.0,77.0,3.8875,22.81
32.0,1852.0,373.0,911.0,365.0,1.7885,5.7
19.0,2890.0,821.0,2203.0,705.0,2.6696,18.51
25.0,1348.0,210.0,660.0,200.0,5.2852,29.76
19.0,2888.0,591.0,984.0,499.0,1.9766,9.26
32.0,3485.0,678.0,1715.0,649.0,4.6563,29.17
26.0,3699.0,671.0,2388.0,699.0,4.0515,12.19
32.0,2182.0,406.0,1122.0,370.0,3.52,28.42
31.0,1507.0,369.0,1548.0,347.0,3.4327,14.72
16.0,2596.0,625.0,1403.0,562.0,3.4018,14.52
52.0,174.0,66.0,249.0,57.0,1.7763,31.25
34.0,2617.0,558.0,1396.0,515.0,5.061,21.8
24.0,1824.0,331.0,1049.0,320.0,5.9181,22.11
41.0,1396.0,360.0,1069.0,363.0,2.4375,20.33
9.0,2748.0,521.0,1663.0,565.0,3.5192,11.33
50.0,1120.0,281.0,625.0,239.0,1.5988,9.64
48.0,1696.0,396.0,1481.0,343.0,2.0375,12.25
14.0,12713.0,2558.0,4741.0,2412.0,4.7094,23.47
48.0,1426.0,331.0,784.0,356.0,1.6581,11.88
17.0,1521.0,309.0,607.0,240.0,3.5,12.38
40.0,1723.0,208.0,976.0,209.0,9.8892,50.0001
18.0,4372.0,736.0,1473.0,675.0,5.1194,24.78
7.0,20377.0,4335.0,11973.0,3933.0,3.3086,13.81
41.0,1404.0,313.0,765.0,330.0,1.8792,6.33
37.0,1768.0,314.0,802.0,290.0,5.0784,29.59
22.0,3247.0,859.0,4179.0,881.0,1.3343,6.08
47.0,2994.0,543.0,1651.0,561.0,3.8644,24.15
37.0,2403.0,550.0,1234.0,493.0,2.0,7.21
45.0,2038.0,394.0,1086.0,387.0,4.7375,28.96
25.0,1701.0,427.0,1021.0,399.0,3.0404,14.21
17.0,1619.0,292.0,705.0,285.0,2.4623,12.61
40.0,2657.0,794.0,2149.0,749.0,2.2653,44.5
34.0,2118.0,437.0,1414.0,442.0,3.7238,16.68
30.0,2548.0,717.0,2086.0,700.0,0.7007,13.44
35.0,4276.0,767.0,3295.0,708.0,4.2583,18.73
27.0,334.0,56.0,130.0,46.0,4.875,28.41
20.0,6992.0,1404.0,3221.0,1334.0,4.2042,16.64
29.0,1377.0,430.0,969.0,399.0,2.6573,25.28
36.0,2587.0,416.0,1055.0,410.0,6.1995,40.72
31.0,1262.0,338.0,1019.0,332.0,3.7083,24.19
35.0,2969.0,521.0,1555.0,503.0,3.25,10.71
30.0,5351.0,1134.0,2558.0,1074.0,3.5817,36.93
6.0,1251.0,268.0,544.0,216.0,3.0694,17.34
17.0,1463.0,292.0,695.0,330.0,4.5859,18.72
18.0,4032.0,798.0,1948.0,775.0,2.7321,9.26
9.0,5329.0,1284.0,2827.0,1202.0,2.7374,15.0
37.0,2824.0,633.0,1619.0,573.0,3.5568,18.45
40.0,1340.0,313.0,766.0,271.0,3.4722,13.54
9.0,13288.0,2728.0,7235.0,2350.0,3.375,13.18
42.0,2010.0,494.0,1203.0,427.0,1.9408,13.46
13.0,2872.0,477.0,1607.0,481.0,4.475,10.24
24.0,1999.0,244.0,759.0,247.0,8.7657,36.63
42.0,2558.0,558.0,1328.0,541.0,4.875,30.13
42.0,1020.0,156.0,398.0,157.0,6.101,31.18
34.0,358.0,87.0,162.0,84.0,7.1264,50.0001
36.0,4366.0,1211.0,1912.0,1172.0,3.5292,36.18
36.0,1356.0,314.0,1469.0,300.0,2.0785,13.98
12.0,9831.0,1921.0,4644.0,1775.0,3.1142,11.26
44.0,658.0,218.0,869.0,212.0,1.9338,8.94
