housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
13.0,1893.0,487.0,1018.0,464.0,3.8047,20.47
30.0,1758.0,248.0,814.0,256.0,6.622999999999999,33.25
33.0,1330.0,209.0,578.0,192.0,5.6406,26.62
20.0,3854.0,1046.0,3555.0,966.0,1.6747,10.0
24.0,1228.0,320.0,537.0,273.0,2.25,19.2
16.0,5569.0,1106.0,3148.0,1088.0,3.1455,14.29
25.0,3344.0,502.0,1483.0,496.0,6.196000000000001,34.06
15.0,3750.0,691.0,1444.0,603.0,2.7399,13.48
36.0,2062.0,351.0,1134.0,358.0,4.4881,21.89
30.0,3257.0,574.0,1804.0,588.0,3.5331,10.29
23.0,1516.0,457.0,1977.0,435.0,2.3068,15.78
15.0,1677.0,345.0,844.0,330.0,2.3958,11.12
26.0,2790.0,413.0,1014.0,397.0,6.5631,50.0001
35.0,3675.0,735.0,1930.0,715.0,3.9833,34.28
30.0,724.0,167.0,325.0,155.0,3.3333,24.79
31.0,1120.0,296.0,1718.0,268.0,2.8077,14.03
7.0,2349.0,312.0,809.0,282.0,5.5520000000000005,28.39
21.0,916.0,194.0,451.0,178.0,2.125,6.33
33.0,1688.0,313.0,808.0,298.0,3.2188,11.78
35.0,1021.0,280.0,1258.0,239.0,1.7375,4.86
35.0,1038.0,209.0,598.0,190.0,5.9214,25.49
19.0,4154.0,560.0,2130.0,589.0,7.2845,30.18
18.0,2060.0,383.0,1348.0,397.0,3.4312,6.84
12.0,19234.0,4492.0,12153.0,4372.0,3.2652,15.28
22.0,1891.0,340.0,1023.0,296.0,2.7303,9.91
23.0,4870.0,965.0,2717.0,928.0,2.596,7.0
20.0,5689.0,992.0,3752.0,1002.0,5.5845,30.43
14.0,1651.0,279.0,633.0,261.0,4.2802,19.48
47.0,661.0,359.0,1406.0,307.0,1.3169,11.25
36.0,1962.0,325.0,786.0,315.0,5.62,23.96
20.0,2616.0,597.0,1532.0,579.0,2.9896,23.56
22.0,3205.0,429.0,1083.0,410.0,8.1844,40.63
28.0,1457.0,397.0,672.0,342.0,1.9799,12.27
29.0,779.0,136.0,364.0,123.0,2.5,5.92
27.0,2587.0,729.0,1500.0,623.0,1.837,17.5
36.0,747.0,189.0,338.0,145.0,1.7885,6.21
15.0,3543.0,888.0,3131.0,823.0,3.0184,13.94
26.0,3082.0,573.0,1590.0,586.0,4.5167,31.9
16.0,3042.0,524.0,1516.0,475.0,4.8906,17.85
35.0,1762.0,350.0,686.0,339.0,3.5982,27.17
22.0,1824.0,333.0,1076.0,282.0,2.3365,6.96
18.0,3574.0,504.0,1803.0,536.0,6.7836,27.41
30.0,1390.0,361.0,1116.0,298.0,1.3451,5.75
17.0,4333.0,947.0,1650.0,919.0,6.3066,34.61
23.0,3038.0,473.0,1501.0,436.0,5.5584,24.17
32.0,1702.0,348.0,1016.0,350.0,2.5,7.36
27.0,471.0,84.0,195.0,72.0,3.3333,20.83
35.0,1579.0,243.0,734.0,264.0,5.5,20.1
18.0,1591.0,268.0,547.0,243.0,5.9547,32.93
47.0,1717.0,314.0,868.0,295.0,3.6094,16.07
35.0,2681.0,508.0,1580.0,536.0,4.1042,17.91
17.0,2395.0,410.0,1224.0,399.0,5.1182,24.92
43.0,1636.0,324.0,792.0,325.0,3.5562,23.92
29.0,1996.0,489.0,960.0,449.0,3.6611,34.42
5.0,6123.0,825.0,2440.0,736.0,7.9013,39.3
7.0,2191.0,324.0,1156.0,310.0,5.5362,19.56
35.0,1326.0,346.0,1023.0,295.0,2.0724,9.77
19.0,2714.0,512.0,1823.0,500.0,3.1281,7.62
36.0,2029.0,351.0,1327.0,364.0,4.1836,16.43
18.0,1802.0,335.0,1110.0,329.0,3.1641,9.63
40.0,1331.0,374.0,1276.0,389.0,2.7546,17.25
32.0,1162.0,196.0,563.0,178.0,3.875,20.3
52.0,2332.0,433.0,1135.0,440.0,5.5658,33.12
14.0,1731.0,404.0,1269.0,351.0,2.3654,10.79
16.0,10621.0,1782.0,3836.0,1480.0,5.0923,25.72
29.0,551.0,166.0,224.0,107.0,1.1917,5.0
5.0,538.0,98.0,8733.0,105.0,4.2391,15.46
34.0,2105.0,444.0,780.0,406.0,2.3187,48.89
42.0,2820.0,488.0,1175.0,500.0,4.5083,40.52
52.0,472.0,146.0,415.0,126.0,2.6429,7.13
38.0,523.0,80.0,226.0,72.0,5.5693,15.31
42.0,1786.0,358.0,1318.0,373.0,2.625,10.11
30.0,1735.0,573.0,2237.0,545.0,2.3444,15.61
52.0,2714.0,779.0,1438.0,733.0,3.6031,27.5
28.0,2112.0,363.0,1011.0,335.0,4.2222,10.89
33.0,1334.0,200.0,579.0,202.0,6.8323,25.59
21.0,5195.0,1020.0,2539.0,988.0,4.5033,16.05
17.0,6817.0,1632.0,4526.0,1474.0,2.6152,13.53
34.0,1653.0,292.0,1003.0,310.0,4.6,20.34
29.0,1871.0,315.0,1066.0,309.0,4.5714,10.08
25.0,726.0,274.0,411.0,214.0,3.2375,45.0
11.0,2895.0,524.0,1633.0,534.0,4.7283,17.02
8.0,2865.0,389.0,1376.0,417.0,7.9393,39.93
16.0,4392.0,602.0,1490.0,578.0,10.5424,50.0001
10.0,1325.0,189.0,427.0,162.0,12.0933,50.0001
32.0,3191.0,634.0,1718.0,611.0,4.1548,21.66
47.0,1713.0,334.0,570.0,297.0,2.1969,14.94
18.0,6235.0,1233.0,4127.0,1162.0,3.0704,15.16
27.0,1170.0,227.0,660.0,222.0,2.3906,8.18
32.0,1869.0,441.0,1516.0,432.0,3.6845,17.85
37.0,2190.0,419.0,490.0,300.0,3.7852,46.58
19.0,2325.0,430.0,967.0,376.0,2.9,15.87
35.0,2703.0,654.0,1383.0,631.0,4.5278,34.04
25.0,848.0,153.0,436.0,155.0,3.9028,9.38
32.0,1464.0,406.0,693.0,380.0,2.5463,20.0
2.0,6900.0,1238.0,1950.0,980.0,3.0417,14.63
47.0,504.0,113.0,375.0,109.0,3.6607,16.06
14.0,2673.0,687.0,1192.0,656.0,4.1862,18.89
32.0,1254.0,399.0,1281.0,386.0,2.2976,15.57
41.0,734.0,190.0,565.0,191.0,2.2813,19.2
44.0,1812.0,338.0,822.0,314.0,6.7744,29.41
12.0,961.0,342.0,315.0,201.0,0.813,27.5
35.0,1471.0,210.0,735.0,219.0,8.3841,47.22
20.0,2507.0,577.0,1072.0,457.0,2.3083,6.02
20.0,3847.0,727.0,1725.0,737.0,3.3447,30.52
48.0,2660.0,616.0,1491.0,602.0,3.9758,34.86
29.0,5436.0,707.0,2046.0,685.0,8.7496,34.95
23.0,708.0,202.0,316.0,136.0,1.1602,6.5
22.0,2486.0,608.0,709.0,523.0,2.9018,27.5
35.0,1863.0,537.0,2274.0,510.0,2.1005,17.13
21.0,3765.0,612.0,1722.0,593.0,4.8152,21.85
10.0,3163.0,832.0,1537.0,797.0,4.1674,21.4
18.0,8581.0,1957.0,6071.0,1889.0,3.0,16.22
35.0,2470.0,416.0,1386.0,411.0,5.2736,17.95
20.0,1257.0,201.0,551.0,186.0,4.6591,24.72
23.0,1793.0,319.0,1145.0,310.0,5.5968,24.32
39.0,1444.0,447.0,1890.0,416.0,2.1181,17.66
18.0,1234.0,266.0,543.0,201.0,2.5156,7.19
34.0,1911.0,497.0,1886.0,481.0,1.625,5.3
52.0,2010.0,286.0,908.0,326.0,6.9135,37.4
13.0,3661.0,770.0,567.0,228.0,4.4063,15.26
38.0,992.0,279.0,732.0,259.0,1.6196,8.51
19.0,757.0,148.0,361.0,141.0,6.02,30.42
27.0,5205.0,859.0,2363.0,888.0,6.1946,27.61
30.0,1197.0,269.0,695.0,279.0,3.4375,15.78
29.0,3541.0,786.0,2259.0,770.0,4.3039,27.84
16.0,4070.0,624.0,1543.0,577.0,6.5214,31.15
42.0,2508.0,483.0,1035.0,442.0,2.6513,7.23
32.0,2072.0,497.0,2002.0,470.0,1.3278,4.45
20.0,4413.0,1189.0,4818.0,1063.0,2.8594,21.51
52.0,2667.0,486.0,1681.0,504.0,4.0524,17.31
37.0,1495.0,292.0,858.0,275.0,2.9306,4.63
32.0,2035.0,519.0,2282.0,480.0,3.2734,13.64
7.0,3561.0,722.0,1921.0,657.0,4.1128,20.97
