MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,logPRP
50,2620,10480,30,12,24,3.4657359027997265
110,5000,5000,142,8,64,4.787491742782046
140,2000,4000,0,4,8,3.688879454113936
300,384,12000,6,1,24,3.970291913552122
40,8000,16000,32,8,16,5.365976015021852
480,512,8000,32,0,0,4.204692619390967
56,4000,8000,0,1,8,3.5263605246161616
185,2000,16000,16,1,6,4.330733340286331
105,2000,6000,16,6,16,3.49650756146648
115,2000,8000,16,1,3,3.912023005428147
150,512,4000,0,8,128,3.4011973816621555
84,1000,2000,0,1,6,2.4849066497880004
17,4000,16000,32,6,12,4.890349128221754
480,1000,4000,0,0,0,3.80666248977032
200,1000,4000,0,1,4,3.4011973816621555
160,512,2000,2,3,8,3.4657359027997265
143,1000,2000,0,5,16,3.4339872044851463
38,8000,24000,160,4,8,4.941642422609304
75,2000,8000,8,3,24,4.127134385045092
133,1000,8000,9,3,12,4.276666119016055
50,8000,16000,48,1,10,4.9126548857360515
320,256,6000,0,1,6,3.49650756146648
800,256,8000,0,1,4,2.772588722239781
38,4000,8000,32,16,32,3.9318256327243257
330,1000,4000,0,3,6,3.0910424533583165
75,2000,16000,128,1,38,5.556828061699537
480,96,512,0,1,1,1.791759469228055
320,512,8000,4,1,5,3.688879454113936
115,512,6000,16,1,6,3.80666248977032
60,2000,8000,65,1,8,4.5217885770490405
50,4000,32000,112,52,104,5.983936280687192
1500,768,2000,0,0,0,2.8903717578961645
810,512,512,8,1,1,2.8903717578961645
38,8000,32000,64,8,24,5.786897381366707
110,3100,6200,0,6,64,4.330733340286331
59,4000,12000,32,6,12,4.727387818712341
250,1000,16000,1,1,8,3.912023005428147
26,8000,32000,64,12,16,5.513428746164983
180,512,4000,0,1,3,3.0445224377234235
700,384,8000,0,1,1,3.1780538303479458
30,8000,64000,96,12,176,6.818924065275521
180,512,4000,0,1,3,2.6390573296152584
26,8000,32000,0,8,24,5.6240175061873385
50,2000,4000,0,3,6,3.2958368660043287
100,1000,8000,24,2,6,3.258096538021482
56,1000,4000,0,1,6,2.8332133440562166
29,8000,32000,32,8,32,5.147494476813453
330,1000,2000,0,1,2,2.772588722239781
50,2000,16000,8,3,6,4.0943445622220995
320,256,5000,4,1,6,3.2958368660043287
64,5240,20970,30,12,24,5.337538079701318
