MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,logPRP
56,1000,4000,0,1,6,2.8332133440562166
350,64,64,0,1,4,2.302585092994046
50,2000,8000,8,1,5,4.262679877041316
56,4000,12000,0,1,8,3.737669618283368
250,1000,16000,1,1,8,3.912023005428147
92,2000,8000,32,1,6,4.127134385045092
133,1000,12000,9,3,12,4.276666119016055
125,256,6000,256,16,128,5.288267030694535
400,1000,3000,0,1,2,3.6375861597263857
800,768,2000,0,0,0,2.9957322735539913
330,1000,4000,0,3,6,3.0910424533583165
115,512,6000,16,1,6,3.80666248977032
110,1000,12000,16,1,2,4.0943445622220995
56,4000,16000,0,1,8,3.828641396489095
29,8000,16000,32,8,16,4.8828019225863715
29,8000,32000,32,8,32,5.147494476813453
124,1000,8000,0,1,8,3.737669618283368
56,4000,8000,0,1,8,3.5263605246161616
100,1000,8000,24,2,6,3.258096538021482
50,2620,10480,30,12,24,4.143134726391533
59,8000,16000,64,12,24,5.236441962829949
180,262,4000,0,1,3,2.4849066497880004
180,768,12000,6,1,31,4.430816798843313
30,8000,64000,96,12,176,6.818924065275521
50,2000,16000,24,1,6,4.248495242049359
140,2000,4000,0,4,8,3.688879454113936
105,1000,4000,0,3,24,3.4657359027997265
112,1000,1000,0,1,4,2.079441541679836
320,512,8000,4,1,5,3.688879454113936
50,2000,4000,0,3,6,3.2958368660043287
225,2000,4000,8,3,6,3.688879454113936
110,5000,5000,142,8,64,4.787491742782046
203,1000,2000,0,1,5,3.1780538303479458
75,2000,8000,8,3,24,4.127134385045092
800,256,8000,0,1,4,2.4849066497880004
320,256,5000,4,1,6,3.2958368660043287
23,32000,64000,128,32,64,7.042286171939742
40,8000,16000,32,8,16,5.365976015021852
26,16000,32000,64,8,24,6.142037405587356
600,768,2000,0,1,1,2.772588722239781
50,2000,16000,8,3,6,4.0943445622220995
200,1000,4000,0,1,4,3.4011973816621555
320,512,2000,4,1,3,4.23410650459726
50,500,2000,8,1,4,2.9957322735539913
23,16000,64000,64,16,32,6.455198563340121
220,1000,8000,16,1,2,4.262679877041316
75,2000,8000,64,1,38,4.969813299576002
180,262,4000,0,1,3,2.8903717578961645
35,8000,32000,64,8,24,5.913503005638269
160,512,2000,2,3,8,3.4657359027997265
480,96,512,0,1,1,1.791759469228055
150,512,4000,0,8,128,3.4011973816621555
1100,768,2000,0,1,1,2.5649493574615367
800,256,8000,0,1,4,2.9957322735539913
26,16000,32000,64,16,24,6.142037405587356
133,1000,8000,9,3,12,4.276666119016055
240,512,1000,8,1,3,1.791759469228055
143,512,5000,0,7,32,3.332204510175204
800,256,8000,0,1,4,2.772588722239781
125,512,1000,0,8,20,3.58351893845611
23,16000,32000,64,16,32,6.192362489474872
38,8000,32000,64,8,24,5.786897381366707
300,384,12000,6,1,24,3.970291913552122
26,8000,32000,128,24,32,6.003887067106539
25,2000,12000,8,1,4,3.8918202981106265
330,1000,2000,0,1,2,2.772588722239781
175,256,2000,0,3,24,3.0910424533583165
180,512,4000,0,1,3,2.6390573296152584
140,2000,4000,0,3,6,3.3672958299864737
25,2000,12000,16,3,5,4.189654742026425
25,1310,2620,131,12,24,5.613128106388071
92,2000,8000,32,1,6,4.0943445622220995
59,4000,12000,32,6,12,4.727387818712341
140,2000,32000,32,1,54,4.948759890378168
92,2000,8000,4,1,6,3.912023005428147
300,192,768,6,6,24,3.58351893845611
116,2000,8000,32,5,28,4.248495242049359
26,8000,32000,64,12,16,5.513428746164983
50,2000,16000,24,6,16,3.9889840465642745
160,1000,8000,16,1,14,4.0943445622220995
185,2000,16000,16,1,6,4.330733340286331
17,4000,16000,32,6,12,4.890349128221754
250,512,4000,0,1,7,3.218875824868201
200,2000,8000,64,1,5,3.7135720667043084
98,1000,8000,32,2,8,3.828641396489095
110,3100,6200,0,6,64,4.330733340286331
320,256,3000,4,1,3,3.2958368660043287
320,512,5000,4,1,5,4.343805421853683
105,2000,4000,8,3,19,3.4657359027997265
180,512,4000,0,1,3,3.0445224377234235
50,1000,4000,8,1,5,3.3672958299864737
480,1000,4000,0,0,0,3.80666248977032
700,384,8000,0,1,1,3.1780538303479458
50,2000,16000,24,1,6,4.382026634673881
75,2000,16000,64,1,38,4.969813299576002
72,4000,16000,64,8,16,4.962844630259907
105,256,2000,0,3,10,3.258096538021482
700,256,2000,0,1,1,3.1780538303479458
200,512,16000,0,4,32,3.555348061489413
90,256,1000,0,3,10,2.8332133440562166
50,2620,10480,30,12,24,3.4657359027997265
800,256,8000,0,1,4,3.0910424533583165
38,8000,16000,64,4,8,4.605170185988092
320,256,6000,0,1,6,3.49650756146648
50,2000,16000,12,3,16,3.80666248977032
26,8000,32000,0,8,24,5.6240175061873385
84,1000,2000,0,1,6,2.4849066497880004
160,2000,8000,32,1,13,4.691347882229144
143,1500,6300,0,5,32,3.4011973816621555
70,4000,12000,8,6,8,4.31748811353631
38,4000,8000,32,16,32,4.7535901911063645
900,2000,4000,0,3,6,3.610917912644224
1100,512,1500,0,1,1,1.9459101490553128
40,8000,32000,64,8,24,5.6240175061873385
140,2000,8000,32,1,54,4.189654742026425
64,5240,20970,30,12,24,5.337538079701318
50,4000,16000,65,1,8,4.927253685157205
50,1000,4000,8,3,5,3.258096538021482
57,4000,16000,1,6,12,4.8828019225863715
75,2000,16000,128,1,38,5.556828061699537
75,4000,16000,16,1,6,4.189654742026425
1500,768,2000,0,0,0,2.8903717578961645
140,2000,4000,8,1,20,3.0910424533583165
900,512,1000,0,1,2,2.3978952727983707
200,1000,2000,0,1,2,3.218875824868201
50,2000,8000,8,1,6,4.02535169073515
300,1000,4000,8,3,64,3.6375861597263857
900,1000,4000,8,1,2,3.0910424533583165
25,1310,2620,131,12,24,5.908082938168932
810,512,512,8,1,1,2.8903717578961645
140,2000,4000,8,1,20,3.555348061489413
110,1000,4000,16,1,2,3.258096538021482
50,2000,16000,8,3,6,3.951243718581428
105,2000,6000,16,6,16,3.49650756146648
