MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,logPRP
56,4000,12000,0,1,8,3.737669618283368
900,2000,4000,0,3,6,3.610917912644224
160,2000,8000,32,1,13,4.691347882229144
23,32000,64000,128,32,64,7.042286171939742
180,2000,8000,8,1,6,3.912023005428147
90,256,1000,0,3,10,2.8332133440562166
160,512,2000,2,3,8,3.4657359027997265
900,1000,1000,0,1,2,2.3978952727983707
92,2000,8000,4,1,6,3.912023005428147
810,512,512,8,1,1,2.8903717578961645
140,2000,32000,32,1,54,4.948759890378168
800,256,8000,0,1,4,2.772588722239781
125,512,1000,0,8,20,3.58351893845611
60,2000,8000,65,1,8,4.5217885770490405
57,4000,24000,64,12,16,5.468060141135132
75,2000,8000,8,3,24,4.127134385045092
50,2000,16000,8,3,6,4.0943445622220995
60,2000,16000,64,5,8,4.30406509320417
330,1000,3000,0,2,4,2.772588722239781
26,8000,32000,64,8,32,5.762051382780178
140,2000,4000,0,4,8,3.688879454113936
300,1000,4000,8,3,64,3.6375861597263857
50,2620,10480,30,12,24,4.143134726391533
900,1000,4000,4,1,2,2.8903717578961645
50,2620,10480,30,12,24,3.4657359027997265
180,262,4000,0,1,3,2.8903717578961645
810,1000,5000,0,1,1,2.9957322735539913
50,2000,16000,8,3,5,3.688879454113936
180,2000,16000,16,1,6,4.189654742026425
50,2000,16000,8,3,6,3.951243718581428
50,2000,4000,0,3,6,3.2958368660043287
800,256,8000,0,1,4,2.4849066497880004
225,2000,4000,8,3,6,3.688879454113936
60,4000,16000,32,1,6,4.4543472962535064
50,2000,8000,8,1,5,4.262679877041316
140,2000,8000,32,1,54,4.189654742026425
480,96,512,0,1,1,1.791759469228055
38,8000,32000,64,8,24,5.786897381366707
124,1000,8000,0,1,8,3.737669618283368
116,2000,8000,32,5,28,4.248495242049359
50,2000,32000,112,52,104,5.726847747587197
320,256,6000,0,1,6,3.49650756146648
330,1000,2000,0,1,2,2.772588722239781
250,1000,16000,1,1,8,3.912023005428147
200,2000,8000,64,1,5,3.7135720667043084
23,16000,32000,64,16,32,5.9053618480545715
59,8000,16000,64,12,24,5.236441962829949
240,512,1000,8,1,3,1.791759469228055
100,1000,8000,0,2,6,2.772588722239781
330,1000,4000,0,3,6,3.0910424533583165
300,384,12000,6,1,24,3.970291913552122
800,256,8000,0,1,4,2.9957322735539913
72,4000,16000,64,8,16,4.962844630259907
23,16000,32000,64,16,32,6.192362489474872
105,2000,4000,8,3,19,3.4657359027997265
400,4000,8000,0,1,1,3.4657359027997265
84,1000,2000,0,1,6,2.4849066497880004
110,1000,4000,16,1,2,3.258096538021482
350,64,64,0,1,4,2.302585092994046
110,3100,6200,0,6,64,4.330733340286331
150,512,4000,0,8,128,3.4011973816621555
35,8000,32000,64,8,24,5.913503005638269
92,2000,8000,32,1,6,4.0943445622220995
50,2000,16000,12,3,16,3.80666248977032
38,4000,8000,32,16,32,3.9318256327243257
185,2000,16000,16,1,6,4.330733340286331
800,768,2000,0,0,0,2.9957322735539913
75,2000,16000,64,1,38,4.969813299576002
25,2000,12000,8,1,4,3.8918202981106265
38,4000,16000,128,16,32,5.356586274672011
50,2000,16000,24,6,16,3.9889840465642745
320,512,5000,4,1,5,4.343805421853683
320,512,8000,4,1,5,3.688879454113936
175,256,2000,0,3,24,3.0910424533583165
40,8000,16000,32,8,16,5.365976015021852
59,4000,12000,32,6,12,4.727387818712341
30,8000,64000,96,12,176,6.818924065275521
38,4000,8000,32,16,32,4.7535901911063645
800,256,8000,0,1,4,3.0910424533583165
17,4000,16000,32,6,12,4.890349128221754
25,1310,2620,131,12,24,5.908082938168932
200,1000,8000,0,1,2,3.58351893845611
320,256,3000,4,1,3,3.2958368660043287
180,262,4000,0,1,3,2.4849066497880004
56,1000,4000,0,1,6,2.8332133440562166
133,1000,12000,9,3,12,4.276666119016055
56,4000,16000,0,1,8,3.828641396489095
1500,768,2000,0,0,0,2.8903717578961645
29,8000,32000,32,8,32,5.147494476813453
29,8000,16000,32,8,16,4.8828019225863715
23,16000,64000,64,16,32,6.455198563340121
200,1000,4000,0,1,4,3.4011973816621555
400,1000,3000,0,1,2,3.6375861597263857
900,512,1000,0,1,2,2.3978952727983707
115,2000,8000,16,1,3,3.912023005428147
26,8000,32000,0,8,24,5.6240175061873385
480,1000,4000,0,0,0,3.80666248977032
50,8000,16000,48,1,10,4.9126548857360515
140,2000,4000,8,1,20,3.555348061489413
1100,768,2000,0,1,1,2.5649493574615367
180,512,4000,0,1,3,2.6390573296152584
75,2000,16000,128,1,38,5.556828061699537
115,512,6000,16,1,6,3.80666248977032
900,1000,4000,8,1,2,3.0910424533583165
75,4000,16000,16,1,6,4.189654742026425
133,1000,8000,9,3,12,4.276666119016055
600,768,2000,0,1,1,2.772588722239781
75,2000,8000,64,1,38,4.969813299576002
180,512,4000,0,1,3,3.0445224377234235
160,1000,8000,16,1,14,4.0943445622220995
50,1000,4000,8,1,5,3.3672958299864737
50,4000,32000,112,52,104,5.983936280687192
38,8000,24000,160,4,8,4.941642422609304
50,2000,8000,8,1,6,4.02535169073515
50,2000,16000,24,1,6,4.248495242049359
56,2000,8000,0,1,8,3.1780538303479458
700,384,8000,0,1,1,3.1780538303479458
70,4000,12000,8,6,8,4.31748811353631
140,2000,32000,32,1,54,5.2417470150596435
110,5000,5000,142,8,64,4.787491742782046
50,2000,16000,24,1,6,4.382026634673881
143,3100,6200,0,5,20,3.49650756146648
300,192,768,6,6,24,3.58351893845611
700,256,2000,0,1,1,3.1780538303479458
38,8000,16000,64,4,8,4.605170185988092
98,1000,8000,32,2,8,3.828641396489095
25,2000,12000,16,3,5,4.189654742026425
250,512,4000,0,1,7,3.218875824868201
143,512,5000,0,7,32,3.332204510175204
26,16000,32000,64,16,24,6.142037405587356
57,4000,16000,1,6,12,4.8828019225863715
203,1000,2000,0,1,5,3.1780538303479458
200,1000,2000,0,1,2,3.218875824868201
140,2000,4000,8,1,20,3.0910424533583165
