lot,bdms,fb,sty,drv,rec,ffin,ghw,ca,gar,reg,sell
9800.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,7.5
6550.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,11.25
3520.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.45
3420.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81
4600.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,12.7
5500.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.9
3500.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5
6060.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.7
3510.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39
1836.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.25
6930.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.39
6000.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,12.09
3480.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.7
4000.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,9.45
2145.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.7
5985.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.9
8960.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,17.5
6000.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0
6540.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.5
8875.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
4040.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,9.5
4100.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.49
4360.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
4500.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1
6600.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.8
4510.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.59
3510.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45
4040.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.75
2700.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
4280.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,5.2
2520.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.39
3840.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.55
3090.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.4
4992.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.8
3460.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.75
6420.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.5
7500.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,17.45
5850.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0
3520.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.19
3185.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.79
3480.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.8
6050.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.49
6550.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,13.3
4000.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
5680.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.6
6000.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.95
3290.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.6
2610.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7800.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.2
6000.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.2
4032.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.17
4079.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
4785.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.85
