lot,bdms,fb,sty,drv,rec,ffin,ghw,ca,gar,reg,sell
5880.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.7
3750.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.35
6670.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.3
2800.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
12944.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
5500.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
3000.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.3
3850.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
4000.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.55
4400.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,7.95
4500.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15
4000.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.4
10360.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.15
12900.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0
3000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2
5010.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.6
4320.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.7
3584.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.3
4500.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,6.1
4320.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,12.5
4785.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.85
3000.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0
2817.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.85
4700.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,8.0
2800.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.08
3120.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
3630.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8
2430.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
6862.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,6.9
2856.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.4
4000.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,9.45
4040.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.4
6420.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.5
8875.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
2610.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.9
6750.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,9.17
3500.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.2
4840.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.95
4520.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0
6000.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,9.8
6050.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.49
4995.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.99
3850.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45
3968.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
6440.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,6.79
6060.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.7
2835.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3
6360.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6.39
6000.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.95
9960.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,17.5
3520.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.45
6600.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,13.0
7200.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,9.0
4815.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.9
5500.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,8.39
4040.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.75
3036.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
4990.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.49
4500.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.7
4260.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.5
15600.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,8.49
6000.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,13.83
5500.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.6
2135.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6600.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.55
3100.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.8
4632.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.9
7160.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,8.4
3650.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
3240.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.3
6540.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,8.5
