normalized-losses,wheel-base,length,width,height,curb-weight,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
95.0,109.1,188.8,68.9,55.5,3062,3.78,3.15,9.5,114.0,5400.0,19,25,22.625
115.0,98.8,177.8,66.5,55.5,2425,3.39,3.39,8.6,84.0,4800.0,26,32,11.245
104.0,99.1,186.6,66.5,56.1,2758,3.54,3.07,9.3,110.0,5250.0,21,28,15.51
161.0,93.7,157.3,64.4,50.8,1918,2.97,3.23,9.4,68.0,5500.0,37,41,5.388999999999999
78.0,96.5,157.1,63.9,58.3,2024,2.92,3.41,9.2,76.0,6000.0,30,34,7.295
103.0,104.3,188.8,67.2,56.2,2912,3.78,3.15,9.5,114.0,5400.0,23,28,12.94
161.0,107.9,186.7,68.4,56.7,3252,3.7,3.52,21.0,95.0,4150.0,28,33,17.95
81.0,94.5,158.8,63.6,52.0,1909,3.03,3.11,9.6,70.0,5400.0,38,43,6.575
145.0,95.9,173.2,66.3,50.2,2811,3.6,3.9,7.0,145.0,5000.0,19,24,12.964
104.0,93.1,159.1,64.2,54.1,1900,3.03,3.15,9.0,68.0,5000.0,31,38,6.095
188.0,101.2,176.8,64.8,54.3,2765,3.31,3.19,9.0,121.0,4250.0,21,28,21.105
122.0,97.3,171.7,65.5,55.7,2209,3.19,3.4,9.0,85.0,5250.0,27,34,7.975
95.0,109.1,188.8,68.8,55.5,3049,3.78,3.15,8.7,160.0,5300.0,19,25,19.045
91.0,95.7,166.3,64.4,52.8,2122,3.19,3.03,9.0,70.0,4800.0,28,34,8.357999999999999
153.0,96.3,173.0,65.4,49.4,2370,3.17,3.46,7.5,116.0,5500.0,23,30,9.959
89.0,97.0,173.5,65.4,53.0,2290,3.62,2.64,9.0,82.0,4800.0,28,32,7.462999999999999
137.0,86.6,144.6,63.9,50.8,1819,2.91,3.41,9.2,76.0,6000.0,31,38,6.855
98.0,94.5,155.9,63.6,52.0,1874,3.03,3.11,9.6,70.0,5400.0,38,43,6.295
106.0,96.5,167.5,65.2,53.3,2289,3.15,3.58,9.0,86.0,5800.0,27,33,9.095
192.0,101.2,176.8,64.8,54.3,2395,3.5,2.8,8.8,101.0,5800.0,23,29,16.43
186.0,94.5,168.9,68.3,50.2,2778,3.94,3.11,9.5,143.0,5500.0,19,27,22.018
74.0,95.7,158.7,63.6,54.5,2015,3.05,3.03,9.0,62.0,4800.0,31,38,6.4879999999999995
103.0,94.5,170.2,63.8,53.5,2037,3.15,3.29,9.4,69.0,5200.0,31,37,7.999
161.0,108.0,186.7,68.3,56.0,3130,3.61,3.21,7.0,142.0,5600.0,18,24,18.15
115.0,98.8,177.8,66.5,55.5,2410,3.39,3.39,8.6,84.0,4800.0,26,32,10.245
137.0,86.6,144.6,63.9,50.8,1713,2.91,3.41,9.6,58.0,4800.0,49,54,6.479
150.0,99.1,186.6,66.5,56.1,2808,3.54,3.07,9.0,160.0,5500.0,19,26,18.15
104.0,99.1,186.6,66.5,56.1,2695,3.54,3.07,9.3,110.0,5250.0,21,28,12.17
104.0,93.1,159.1,64.2,54.1,1905,3.03,3.15,9.0,68.0,5000.0,31,38,6.795
113.0,93.1,166.8,64.2,54.1,1950,3.08,3.15,9.0,68.0,5000.0,31,38,7.395
118.0,93.7,157.3,63.8,50.8,2128,3.03,3.39,7.6,102.0,5500.0,24,30,7.957000000000001
94.0,97.3,171.7,65.5,55.7,2275,3.19,3.4,9.0,85.0,5250.0,27,34,8.495
85.0,96.5,175.4,65.2,54.1,2304,3.15,3.58,9.0,86.0,5800.0,27,33,8.845
134.0,98.4,176.2,65.6,52.0,2714,3.62,3.5,9.3,116.0,4800.0,24,30,11.549000000000001
129.0,98.8,177.8,66.5,53.7,2385,3.39,3.39,8.6,84.0,4800.0,26,32,8.845
95.0,109.1,188.8,68.9,55.5,3012,3.58,2.87,8.8,134.0,5500.0,18,23,21.485
110.0,96.5,163.4,64.0,54.5,2010,2.91,3.41,9.2,76.0,6000.0,30,34,7.295
137.0,96.3,172.4,65.4,51.6,2403,3.17,3.46,7.5,116.0,5500.0,23,30,9.279
161.0,93.0,157.3,63.8,50.8,2145,3.03,3.39,7.6,102.0,5500.0,24,30,7.689
125.0,96.3,172.4,65.4,51.6,2365,3.35,3.46,8.5,88.0,5000.0,25,32,6.989
128.0,94.5,165.6,63.8,53.3,2028,3.15,3.29,9.4,69.0,5200.0,31,37,7.7989999999999995
161.0,107.9,186.7,68.4,56.7,3075,3.46,2.19,8.4,95.0,5000.0,19,24,15.58
128.0,100.4,181.7,66.5,55.1,3095,3.43,3.27,9.0,152.0,5200.0,17,22,13.499
